date,team,player,role,MP,FG,FGA,FG_PCT,FG3,FG3A,FG3_PCT,FT,FTA,FT_PCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
2016-10-25T19:30:00,New York Knicks,Mindaugas Kuzminskas,Reserve,9.15,3,5,0.6,1,3,0.33299999999999996,0,0,,0,1,1,0,0,0,0,0,7,-4.0
2016-10-25T19:30:00,New York Knicks,Derrick Rose,Starter,29.48333333333333,7,17,0.41200000000000003,1,2,0.5,2,2,1.0,2,1,3,1,0,1,4,1,17,-19.0
2016-10-25T19:30:00,New York Knicks,Courtney Lee,Starter,19.316666666666666,0,5,0.0,0,2,0.0,0,0,,1,2,3,0,0,1,2,1,0,-19.0
2016-10-25T19:30:00,New York Knicks,Joakim Noah,Starter,19.316666666666666,0,1,0.0,0,0,,0,0,,1,5,6,3,1,0,1,1,0,-1.0
2016-10-25T19:30:00,New York Knicks,Justin Holiday,Reserve,26.43333333333333,2,7,0.28600000000000003,2,3,0.667,2,2,1.0,1,5,6,2,1,0,0,0,8,-14.0
2016-10-25T19:30:00,New York Knicks,Brandon Jennings,Reserve,21.35,1,7,0.14300000000000002,0,4,0.0,5,6,0.833,1,2,3,5,0,0,1,2,7,-14.0
2016-10-25T19:30:00,New York Knicks,Lance Thomas,Reserve,16.266666666666666,1,4,0.25,0,0,,0,0,,0,1,1,1,2,0,1,2,2,-11.0
2016-10-25T19:30:00,New York Knicks,Kyle O'Quinn,Reserve,15.25,1,3,0.33299999999999996,0,2,0.0,0,0,,1,4,5,1,0,2,1,3,2,-10.0
2016-10-25T19:30:00,New York Knicks,Willy Hernangómez,Reserve,9.15,2,3,0.667,0,0,,0,0,,1,0,1,0,0,0,1,1,4,-3.0
2016-10-25T19:30:00,New York Knicks,Ron Baker,Reserve,6.1,2,3,0.667,1,1,1.0,0,0,,0,1,1,0,0,0,0,0,5,-5.0
2016-10-25T19:30:00,Cleveland Cavaliers,Chris Andersen,Reserve,5.083333333333333,1,1,1.0,0,0,,0,0,,0,0,0,0,0,1,0,0,2,1.0
2016-10-25T19:30:00,Cleveland Cavaliers,Jordan McRae,Reserve,5.083333333333333,1,4,0.25,0,0,,0,0,,0,0,0,0,0,0,0,1,2,1.0
2016-10-25T19:30:00,Cleveland Cavaliers,DeAndre Liggins,Reserve,12.2,2,3,0.667,0,0,,0,0,,0,3,3,3,0,1,1,1,4,11.0
2016-10-25T19:30:00,Cleveland Cavaliers,Iman Shumpert,Reserve,13.216666666666667,1,3,0.33299999999999996,0,1,0.0,0,0,,1,1,2,3,0,1,2,2,2,-5.0
2016-10-25T19:30:00,Cleveland Cavaliers,Channing Frye,Reserve,14.233333333333333,2,6,0.33299999999999996,2,5,0.4,0,0,,2,2,4,0,1,1,1,4,6,7.0
2016-10-25T19:30:00,Cleveland Cavaliers,Mike Dunleavy,Reserve,22.36666666666667,2,3,0.667,0,1,0.0,0,0,,0,4,4,2,3,0,0,0,4,19.0
2016-10-25T19:30:00,Cleveland Cavaliers,Richard Jefferson,Reserve,25.41666666666667,5,7,0.7140000000000001,2,3,0.667,1,2,0.5,0,4,4,1,2,0,2,1,13,18.0
2016-10-25T19:30:00,Cleveland Cavaliers,Tristan Thompson,Starter,22.36666666666667,0,1,0.0,0,0,,0,0,,2,4,6,0,0,0,2,4,0,16.0
2016-10-25T19:30:00,Cleveland Cavaliers,Kevin Love,Starter,24.4,6,15,0.4,2,6,0.33299999999999996,9,12,0.75,2,10,12,2,3,0,2,3,23,24.0
2016-10-25T19:30:00,Cleveland Cavaliers,J.R. Smith,Starter,25.41666666666667,3,13,0.231,2,8,0.25,0,0,,0,3,3,2,1,0,0,1,8,13.0
2016-10-25T19:30:00,Cleveland Cavaliers,Kyrie Irving,Starter,29.48333333333333,12,22,0.545,4,7,0.5710000000000001,1,1,1.0,1,1,2,4,2,0,0,1,29,13.0
2016-10-25T19:30:00,Cleveland Cavaliers,LeBron James,Starter,32.53333333333333,9,14,0.643,0,3,0.0,1,2,0.5,3,8,11,14,0,1,4,3,19,26.0
2016-10-25T19:30:00,New York Knicks,Carmelo Anthony,Starter,30.5,8,18,0.444,1,4,0.25,2,2,1.0,1,4,5,3,1,0,4,5,19,-19.0
2016-10-25T19:30:00,Cleveland Cavaliers,James Jones,Reserve,5.083333333333333,1,2,0.5,1,1,1.0,2,2,1.0,0,0,0,0,0,0,0,1,5,1.0
2016-10-25T19:30:00,New York Knicks,Sasha Vujačić,Reserve,3.05,0,1,0.0,0,1,0.0,1,2,0.5,0,0,0,1,0,0,1,1,1,-5.0
2016-10-25T19:30:00,New York Knicks,Kristaps Porziņģis,Starter,32.53333333333333,5,13,0.385,3,5,0.6,3,6,0.5,4,3,7,0,1,2,2,5,16,-21.0
2016-10-25T22:00:00,Utah Jazz,George Hill,Starter,38.63333333333333,7,18,0.389,1,6,0.16699999999999998,4,4,1.0,0,2,2,6,2,1,1,2,19,2.0
2016-10-25T22:00:00,Utah Jazz,Rudy Gobert,Starter,40.66666666666666,4,7,0.5710000000000001,0,0,,4,4,1.0,4,10,14,2,0,2,3,3,12,7.0
2016-10-25T22:00:00,Portland Trail Blazers,CJ McCollum,Starter,34.56666666666667,8,16,0.5,2,2,1.0,7,7,1.0,1,1,2,3,1,0,3,3,25,12.0
2016-10-25T22:00:00,Portland Trail Blazers,Al-Farouq Aminu,Starter,28.466666666666665,3,6,0.5,2,3,0.667,1,1,1.0,0,4,4,1,1,0,1,0,9,0.0
2016-10-25T22:00:00,Portland Trail Blazers,Maurice Harkless,Starter,22.36666666666667,0,2,0.0,0,1,0.0,0,0,,0,1,1,1,2,0,2,1,0,-13.0
